Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
-1.094901856426894748e-01,-1.026697645250168600e+00,2.039170289681424997e+00,6.707308092898760232e-04,2.992615893799497814e-02,2.790876206854997488e-02,4.932670444515236535e-02
8.467743534369989722e-02,-1.688004471983855392e+00,2.145617058915028963e+00,-3.873134512336501864e-05,1.038925541585869689e-03,2.515496434384705601e-03,4.451225906942134734e-03
2.468976249025582603e-02,-1.002273438701017039e+00,1.858800553992828952e+00,-1.740687935491068926e-04,2.697750419651276030e-03,5.218645408341097969e-03,9.408561994421001454e-03
-8.492945511097202416e-02,-8.459057045348804538e-01,1.976664965716448563e+00,-1.955272073771583980e-03,-4.486882927767036136e-03,5.916797006173962065e-03,-6.057996655106775638e-04
-9.530211664443673236e-02,-4.628937716548059411e-01,1.325601022109543337e+00,-1.123033020077425460e-03,1.179792115376715987e-02,2.857842534800979217e-02,3.944592623771586704e-02
-5.106639206397387692e-02,-1.612388870516552775e+00,2.254752211535256734e+00,-4.968576321347587151e-03,4.262842504367458235e-02,3.613783228760436561e-02,9.576665103366149845e-02
-9.306802368532031411e-02,-9.693326100515194943e-01,1.364381959109557396e+00,1.752591288979874059e-03,2.313090918884973257e-02,3.194946129370455912e-02,6.705533327561710721e-02
-1.739339332203040586e-02,-2.927618902166018722e-01,9.973135765318201784e-01,-9.315187229877528173e-06,1.089869888749427605e-03,9.649635567750155206e-04,1.531611122080504123e-03
-7.170254804665640580e-02,-1.162418213968535508e+00,2.004327240780862329e+00,-2.189953946084890676e-03,6.239228101327964557e-03,1.241996526681737531e-02,2.322886725162461377e-02
-1.391177009624844085e-01,-1.046164648823430632e+00,2.012774944844937686e+00,-3.037459539531996502e-03,1.978176363616338321e-03,1.133451473294185864e-02,1.373992722129556247e-02
-1.960767367209890755e-01,-7.221633972624126319e-01,1.781328799372892346e+00,-1.047505622114621934e-02,-8.595791482097957237e-03,2.904128596344571211e-02,1.752945732453276700e-02
-2.070311465311768517e-01,-7.900572822586172661e-01,1.645463476789215340e+00,-1.421763556610906518e-02,1.513190783721298123e-02,3.921279320361790999e-02,6.760640357782318755e-02
1.087832478797875063e-01,-1.601105960294041619e+00,1.901274614105174843e+00,-5.643783539164588933e-04,1.298663218471775467e-02,2.734134782699956107e-02,4.568767451040953165e-02
7.721639151991172012e-05,-1.645815452027461046e+00,2.071605472524692182e+00,-5.921365224112988199e-03,1.058128036091503937e-01,1.213516274387004545e-01,2.513691228252675769e-01
1.064910229116032142e-01,-2.002160543467255138e+00,2.309425158262721212e+00,-5.558350364914709440e-04,2.811426563062619215e-03,7.026668397815001230e-03,1.838853665543622312e-02
5.615612561391545438e-02,-1.952507911623987846e+00,2.251418911885553875e+00,-8.764179699610028310e-03,7.063517086132353739e-02,6.026451692974886531e-02,1.829381432173355637e-01
-1.694592623171146950e-01,-1.889503914038829002e+00,2.387041828925150710e+00,-3.335523472425314974e-03,4.504049471289052475e-03,-2.431421406908955071e-02,-6.281281624636966820e-03
-1.208264384271228314e-01,-1.300341082376649915e+00,2.375479574560772189e+00,-2.449381261228523662e-03,1.399850375963391722e-02,1.369481654460064785e-02,3.904991484673646374e-02
