Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
-9.304433267532685736e-02,-1.408081391731884180e+00,2.242980414438809245e+00,-4.011345848833501246e-03,3.638624962280292280e-02,4.444845714432769934e-02,9.114045804490723823e-02
-2.166112126729253795e-01,-1.472681719295492186e+00,2.375516899823053585e+00,-3.858376633782741299e-03,1.506886031506940969e-02,1.511140674845782260e-02,3.743946140709082659e-02
-2.394111462280366087e-01,-1.154541397503340283e+00,2.244486341655666628e+00,-5.862313024614508421e-03,9.143220304585151018e-03,1.128835320479216683e-02,2.983129687083486276e-02
-2.665525895093422831e-02,4.105267885532126737e-02,8.896394987182061342e-01,-3.135779574332044376e-05,1.199439578811199334e-03,1.224844643297750462e-03,2.334159328282833790e-03
-6.575530205367768888e-02,-1.252645672882881644e+00,2.218604588802874034e+00,2.720484376060281842e-05,5.923065584649646114e-04,1.076187920193137117e-04,5.629949774254960470e-04
-9.388909305343735856e-02,-3.145895535824680955e-01,1.012246726276917919e+00,-7.471567818415614497e-04,1.908193428982841999e-02,1.779903967959921285e-02,4.229745268077151482e-02
-2.183353387823248060e-01,-4.814445574482872914e-01,1.661079112237513478e+00,-1.092527847251131487e-03,9.988697860008477480e-02,1.231072736229745918e-01,2.467986467855785848e-01
-1.308874055269153014e-01,-5.363223796444774871e-01,1.941032914085208727e+00,-3.516547694256345630e-03,1.711214465199062396e-02,3.938962723770383922e-02,7.127961836693760822e-02
-1.662341230735833730e-02,-8.015047540425679351e-01,1.977335207955091434e+00,-1.668175135778105812e-05,2.138890091943965871e-02,3.674990165535464703e-02,5.916971892949612899e-02
-1.489312412705314781e-01,-3.925346720287883340e-01,1.713483310328110854e+00,-4.055954719731403452e-03,2.890146900063431112e-02,5.424820370479868648e-02,9.877844269016219925e-02
9.465550134738229260e-02,-1.459218515586017562e+00,2.024786387997239423e+00,-6.631229933478152835e-04,1.741551520130423664e-02,2.343025602432069476e-02,4.300317718257946897e-02
-3.213273436078140088e-02,-1.303786650448258255e+00,2.093994871178664674e+00,2.988221274774275054e-03,1.210724314129460050e-01,1.417226730983354999e-01,3.061397671375353235e-01
1.124031079211981199e-01,-1.881506212237219255e+00,2.355442486195171270e+00,-5.456363488268496263e-04,1.025635007855161748e-02,1.256629441733064963e-02,2.704641035861217804e-02
-2.084438911748674461e-01,-1.432595403118002597e+00,2.320780086723215785e+00,-3.819373581763860215e-03,9.254050625023307192e-03,-3.732044995823458750e-02,-1.138380999115270326e-02
-2.158246938064740938e-01,-1.377810504979037232e+00,2.383136730978666851e+00,-1.352434356349590475e-03,-9.619280651083523051e-03,-2.042822105082395256e-02,-2.454755078639310820e-02
-4.865345108593588375e-02,-3.390827064997147255e-01,1.139353948499761238e+00,-3.709130413568624378e-04,1.787987440584620086e-02,1.807813767456126902e-02,4.396975170308414782e-02
-4.965228307427187182e-02,-8.801558502387052396e-02,7.207314413415424337e-01,-1.169928824121123541e-04,8.650673435819097173e-03,9.050032130599718061e-03,1.891541735588654280e-02
