Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
-2.235268749158249857e-01,-2.266948767067423542e+00,1.191598989012562892e+00,-6.164840085018568944e-05,2.476900204814390036e-03,1.466835905925163979e-03,4.033853783160963602e-03
-2.901136540581628065e-01,-2.140860563064094890e+00,1.194340764978390812e+00,-1.740041983389881142e-02,-3.909422502909241925e-02,-1.362293899245515041e-02,-5.455091895895065879e-02
-3.665776159322747252e-01,-2.089689346263604808e+00,1.107653943545000574e+00,-8.498038429145821082e-02,-1.035517928254428149e-01,-3.190044028409994015e-02,-1.416059445111949588e-01
-1.238378707810846580e+00,-2.180263055433580455e+00,1.353064181489793016e+00,-2.691646026730555499e-03,6.161605688642032147e-02,4.248592007860289149e-02,1.280358909597482386e-01
-8.717869116863361523e-01,-2.313314478214920200e+00,1.315448407154036214e+00,-1.512479685855203310e-03,3.426237912508808825e-02,2.608053691814206376e-02,6.457082079629632154e-02
-7.181300651718458550e-01,-2.393712863612954767e+00,1.417551278816279403e+00,-2.019973600824509496e-03,1.727099578496899338e-02,9.732806788235353820e-03,3.074434103225094986e-02
-5.955354743196090705e-01,-2.422733332716436205e+00,1.405980489129287747e+00,-2.505168895428761845e-03,2.021700055196072945e-02,9.666840625795711586e-03,3.474261167191262933e-02
-4.105014833250762024e-02,-2.099955085080889017e+00,1.156217014377507013e+00,-4.715093975645217849e-06,6.063068561417609250e-04,3.745372045936916339e-04,1.113386280084657570e-03
-1.735696830849933203e-01,-2.322917690942371660e+00,1.374976720701405863e+00,-7.155233655252465452e-05,1.201128041867088880e-04,-9.467728232189241483e-05,-2.162894672853341678e-04
-8.201098679903084943e-02,-1.923889960293453605e+00,7.667026692364294904e-01,-3.160064732368288599e-03,-1.475874786036711697e-02,-8.613297743117528243e-03,-2.400444270447040646e-02
-2.690640465185708541e-01,-1.988211848472277721e+00,1.085515206510783814e+00,-2.865054166074199743e-02,-3.300365515032687574e-02,-1.112649773255330529e-02,-4.983062012068840974e-02
