Alpha_estimate_Exponent,Alpha_estimate_PAF,Alpha_estimate_Power,Alpha_estimate_Width,Xi_estimate_Exponent,Xi_estimate_Power,Xi_estimate_Width
3.195418681817896012e+00,1.006765219183529148e+01,7.341318276491673456e-02,3.854998228129218774e+00,1.810271256110247418e+00,2.205922941074651700e-01,4.009440249555250801e+00
3.628561010188107172e+00,1.001798443772674219e+01,8.786420664029423455e-02,2.970680043708145313e+00,1.512551757005544895e+00,1.604795077419523819e-01,4.366163737094240105e+00
3.708018948333431819e+00,9.561397865565135490e+00,6.054789781796209719e-02,3.911173406273427577e+00,1.577643684666566237e+00,1.243260022365685558e+00,4.620615821896177700e+00
2.766734319397165631e+00,1.015178105800966613e+01,1.702457960176317064e-01,3.312746932234944985e+00,1.726403728316101782e+00,6.311059391856947698e-02,3.989821596990657859e+00
4.852965114652648460e+00,9.978175569874371931e+00,1.328084383939587797e-02,1.990578522977902942e+00,1.348776916200800535e+00,2.094213806756938315e-02,4.020796086437018246e+00
3.227010066168648716e+00,1.004533045178368056e+01,8.428640726155468832e-02,4.056448306356157829e+00,1.841394242218562516e+00,5.123067753212082742e-01,4.013953315644037012e+00
3.247294780719711227e+00,1.006986727197486253e+01,1.141026742891015772e-01,3.868794660970388932e+00,1.917290502283946596e+00,3.890187100518539554e-01,3.847059186682643794e+00
3.203274303979247062e+00,9.995100063129063628e+00,2.306096332460424447e-01,3.514138477562117835e+00,1.805347915983548157e+00,5.858915365525405594e-01,4.069673534727444419e+00
3.105929091885998972e+00,1.008493009916654870e+01,2.862867512278728932e-01,3.361794178908293684e+00,1.703147785799639324e+00,1.163479039462300024e+00,4.197729988499088627e+00
3.392822750343764238e+00,9.751824780929187142e+00,4.774108126544016756e-02,4.154510009387307967e+00,1.592570808308183761e+00,7.940863720641648804e-01,4.383752148998670606e+00
3.337093077817009590e+00,9.719103058565009334e+00,9.402888808941957388e-02,4.329661290622452086e+00,1.669656336886211401e+00,2.453183177569248308e+00,4.400798575392046885e+00
3.483279559474724785e+00,9.550978101216829330e+00,2.794239178183488548e-02,4.022963809852416972e+00,1.733419532959277864e+00,8.404195631066193606e-01,4.491336510731623655e+00
3.317222019160015911e+00,9.606758798871721794e+00,8.174531625711028981e-02,4.409077097910531151e+00,1.742761979932370364e+00,2.932079594142688705e+00,4.296898409446574085e+00
4.391140767506191089e+00,9.293859225947683100e+00,3.643591836490749775e-02,3.185909691587973214e+00,1.583703549481435102e+00,7.808546710512779265e-01,4.546540047648892191e+00
4.194724367423490641e+00,9.695717215538024902e+00,5.816287490200589688e-02,3.310443691231987895e+00,1.454650817946954167e+00,6.630895048041235418e-01,4.667871756987138632e+00
4.748856296689491607e+00,9.353280195101039141e+00,2.804004795497327257e-02,2.877573385013370011e+00,1.466881188820666315e+00,4.054574284731872202e-01,4.550383443907489500e+00
3.089672803878784180e+00,1.005878251626950970e+01,1.068421821408999106e-01,3.035692934596210257e+00,1.631317063209113627e+00,3.006025683134794235e-02,3.909749884124195773e+00
3.592125039474636683e+00,1.010092926960365389e+01,4.589771603544553352e-02,2.493132376203349931e+00,1.550441173946156326e+00,2.262692646506954744e-02,3.954263192765853141e+00
3.308147070976683146e+00,9.945598534521112200e+00,3.541012123454040372e-02,3.309095139430864307e+00,1.644033329135875521e+00,6.204416938977042051e-02,4.208157720904664778e+00
3.304276653238245043e+00,1.003171750661489092e+01,7.069313602673041319e-02,3.025789409070401614e+00,1.734834746412328821e+00,9.882076516546108025e-02,3.989385104823756745e+00
3.220800106605274049e+00,1.001414625268233394e+01,3.455027143457574668e-01,3.404088744706514458e+00,1.872179273783304954e+00,9.406362790525244488e-01,3.984643506091177123e+00
2.738960709922757530e+00,1.018735146625733456e+01,5.140264108131974430e-01,3.590722217188253129e+00,1.918405369246676928e+00,6.238730515300969781e-01,3.864237192905310536e+00
3.004105086539201608e+00,1.013706951384331845e+01,9.632667661852138685e-02,3.061185280988170998e+00,1.797828701651020378e+00,7.870153769565994828e-02,3.856638844605464023e+00
3.172631761710631881e+00,1.003802694593157163e+01,9.059653914730830815e-02,3.036165161085833564e+00,1.662030979917554330e+00,4.759841743085918564e-02,3.943994921416484445e+00
